disease,symptom_cleaned,Causes,Symptoms
inherited heart conditions,"medication, genetic counsellors, arrhythmogenic cardiomyopathy, public representatives, other experts, cardiomyopathy uk, cardiac risk in the young (cry), pathologists, sads uk, marfan syndrome, heart transplantation (in rare cases), heart specialists, british heart foundation, blackouts, faints or fits (seizures), a 24 hour heart monitor, changes to your lifestyle, it’s important to speak to your gp or a healthcare professional if you have had any of these symptoms., every inherited heart condition is managed and treated differently. treatments will be based on your symptoms and any test results","geneticists, inherited heart condition, inherited heart condition, inherited heart condition","like :, implantable cardioverter defibrillators, exercise tolerance test, british heart foundation, abnormal heart rhythm, sudden cardiac death, long qt syndrome"
insomnia,"because the causes of insomnia vary, the treatments used can vary from person to person., you could try an online course like sleepio. sleepio is a digital sleep improvement programme based on cognitive behavioural therapy (cbt",,"cognitive behavioural therapy, clinically proven to, of poor sleep, of insomnia vary, of insomnia, insomnia ., , could try, cbt .), ’, treatments"
iron deficiency anaemia,"shortness of breath, inflammatory bowel disease – a condition that causes redness and swelling (inflammation) in the digestive system, such as crohn’s disease and ulcerative colitis, a lack of iron can be caused by several factors. some of the most common causes of iron deficiency anaemia are outlined below., for example, you may be referred to a gastroenterologist if your gp can’t identify a cause and you have a particularly low haemoglobin level, or if your gp thinks there’s a possibility your symptoms could be caused by stomach cancer or bowel cancer, although this is unlikely",,"ulcer bleeds slowly, proton pump inhibitors, painful open sores, green leafy vegetables, green leafy vegetables, green leafy vegetables, external sex organs, contain phytic acid, abnormally smooth tongue, trying to establish"
irritable bowel syndrome (ibs),"bleeding from your back passage, a change in your bowel habits – such as diarrhoea, constipation or sometimes both, a swelling or lump in your stomach or back passage, you have other symptoms, including:, other less common symptoms may also be experienced, such as:, bloating and swelling of your stomach, lack of energy (lethargy), the symptoms of ibs vary between individuals and affect some people more severely than others. symptoms can become worse, often during times of stress or after eating certain foods., learn about things that can help ibs symptoms, feeling sick, the exact cause of ibs is unknown",,"stress ., heartburn, ., occasionally experiencing, times of stress, of low mood, lack of energy, inflammatory bowel disease, bowel habits –, important to rule, bowels ., abdominal, of ibs vary"
itchy bottom,"if an itchy bottom lasts longer, you may be able to get an idea of the cause from other symptoms you have. but, you should not self-diagnose. speak to your gp if you’re worried",sexually transmitted infection,"worried ., haemorrhoids, able to get, get worse, to treat, to ease, speak to, suggest :, , stronger medication, itchy bottom"
itchy skin,"common causes of itchy skin, how to ease it and when to see your gp, common causes of itchy skin, including allergies, skin conditions and other conditions, itching is an unpleasant sensation that compels a person to scratch the affected area. learn about causes and treatments of itching., common causes of itchy skin, how to ease it and when to see your gp, common causes of itchy skin, including allergies, skin conditions and other conditions, itching is an unpleasant sensation that compels a person to scratch the affected area",,"of itchy skin, of itchy skin, of itchy skin, of itchy skin, person to scratch, person to scratch, treatments of itching, skin conditions, skin conditions, unpleasant sensation"
joint hypermobility,"it’s helpful to have a physiotherapist with knowledge of heds or hsd, as some physiotherapy treatments can make symptoms worse., headaches, a person with heds or hsd may also have a number of other symptoms related to weaknesses in the connective tissues throughout their body., trying to have good sleep routine (sleep hygiene), joints that dislocate (come out of the correct position) easily, eating a healthy diet and maintaining a healthy weight which can help improve your joint strength, reducing the strain on them, a tendency to bruise easily and develop stretch marks, strength and balance training, but, this cannot be used to confirm a diagnosis, because it’s important to look at all the joints and take into account a persons symptoms",linked to changes,"worse ., headaches, surrounding tissue wall, oesophageal reflux disease, good sleep routine, develop stretch marks, connective tissues throughout, connective tissues throughout, connective tissue within, sticking to low"
kaposi’s sarcoma,"you should speak to your gp if you have any worrying symptoms you think could be caused by kaposi’s sarcoma. if you have hiv, you can also contact your local hiv clinic if you have any concerns., unlike the other types of kaposi’s sarcoma, the symptoms of classic kaposi’s sarcoma progress very slowly over many years and are usually limited to the skin",,"months without treatment, lymphoedema ), nausea, flexible tube called, characteristic discoloured patches, affect life expectancy, skin biopsy –, concerns ., unlike, tests to confirm, skin to look, matter of weeks"
kidney cancer,"targeted therapies, read more about the causes of kidney cancer., mouth soreness, blood in your urine (haematuria) – the amount of blood is usually high enough to change the colour of your urine to a reddish or dark brown colour, in around half of all cases of kidney cancer, there are no symptoms, and the condition is detected during tests for other unrelated conditions., immunotherapy, red, dry, itchy skin, nephrectomy, read about the causes of kidney cancer",,"thyroid hormone level, abnormal liver function, leiomyomatas ); people, hypertension ), foods, four people ), , lack of periods, renal cell carcinoma, dark brown colour, of 10 people, loss of fertility"
kidney infection,"need to urinate frequently or urgently, pain when passing urine, loss of appetite, to work out if you have a kidney infection, your gp will ask you about your symptoms and your recent medical history., blood in the urine, see your gp if your symptoms don’t improve after 14 days (or 7 days for children with constipation)., high temperature (it may reach 39",,"develop quite quickly, low blood pressure, high temperature ., , ultrasound scan –, isotope scan –, unpleasant smelling urine, signs of problems, series of x, series of x, loss of appetite"
kidney stones,"celery, a persistent ache in the lower back, which is sometimes also felt in the groin – men may have pain in their testicles and scrotum, pain when you urinate (dysuria), percutaneous nephrolithotomy (pcnl), beetroot, a blockage can cause severe pain in the abdomen or groin and sometimes causes a urinary tract infection (uti)., periods of intense pain in the back or side of your abdomen, or occasionally in your groin, which may last for minutes or hours, a condition such as gout that prevents the body breaking down certain chemicals, almonds, peanuts and cashew nuts, cystine stones are the rarest type of kidney stone. they’re caused by an inherited condition called cystinuria, which affects the amount of acid that is passed in your urine","urinary tract infection, urinary tract infection","slightly different angles, even go undetected, pcnl ), beetroot, starts to travel, small enough to, possible to treat, amount of acid, urinate ., aspirin"
labyrinthitis,"feeling sick (nausea) or being sick, vertigo (dizziness) – the sensation that you, or the environment around you, is moving, a feeling of pressure inside your ear(s), hearing loss (from mild to total loss of hearing), ringing or humming in your ear(s) (tinnitus), labyrinthitis is an inner ear infection. it causes the labyrinth inside your ear to become inflamed, affecting your hearing and balance., you’ll usually have already seen your gp about labyrinthitis symptoms and may have started some treatment",inner ear infection,"without hearing loss, ), hearing loss, :, corticosteroids –, tinnitus ), labyrinthitis, time to, reducing inflammation, prochlorperazine –, people diagnosed, particularly severe"
lactose intolerance,"your gp may suggest trying to remove lactose from your diet for two weeks to see if it helps to relieve your symptoms. this will provide further evidence of whether you’re lactose intolerant., primary lactase deficiency develops when your lactase production decreases as your diet becomes less reliant on milk and dairy products",,"types of bread, nutritional benefits of, evidence of whether, age of two, two weeks to, two weeks to, helps to relieve, helps to control, examined to look, enough to trigger"
laryngeal (larynx) cancer,"you should speak to your gp if you have had any of the main symptoms for more than 3 weeks., a persistent sore throat or earache, recovering from laryngeal cancer, a long-lasting cough, the main symptoms of laryngeal cancer include:, diagnosing laryngeal cancer, if you want to stop smoking, but don’t want to be referred to a stop smoking service, your gp should be able to prescribe medical treatment to help with any withdrawal symptoms you may have., a pet-ct scan – a ct scan is used to take pictures of the inside of your body after you’ve been injected with a mildly radioactive substance that helps to show cancerous areas more clearly, about laryngeal cancer, coal or wood dust, total laryngectomy, asbestos, endoscopic resection, a magnetic resonance imaging (mri) scan – a strong magnetic field and radio waves are used to produce a more detailed image of your larynx and the surrounding tissue, during a nasendoscopy or laryngoscopy, your doctor may use small instruments to remove a sample of cells from your larynx so it can be examined for signs of cancer",stop smoking service,"strong magnetic field, mildly radioactive substance, magnetic resonance imaging, less serious conditions, glands found throughout, control cell growth, cleaning solvent ), , :, isopropyl alcohol, series of x"
laryngitis,"a viral infection – such as a cold or flu, a headache, swollen glands, in some cases, it may be possible to treat the underlying cause of laryngitis. for example, if the symptoms are caused by an allergic reaction, you may be able to:, alcohol misuse, pain when swallowing, irritating cough, reflux, runny nose, avoid the thing you’re allergic to, if you see your gp, they’ll discuss the possible causes with you and may refer you for tests or to a specialist in hospital., laryngitis is often linked to another illness","viral infection –, throat infection","hospital ., laryngitis, possible to treat, larynx –, gone ., , swollen glands, speaking difficulties, runny nose, pass within"
later years (around 50 years and over),"learn about overactive thyroid symptoms and treatments, information around the symptoms of menopause, heart disease affects women as well as men. it's important to know the symptoms of heart disease and when to get help., learn about fibroids symptoms and treatments, advice about common genital symptoms including pain, spots and itching, information about polycystic ovary syndrome (pcos) symptoms and treatment, learn about pelvic organ prolapse symptoms and treatments, information about irregular periods including possible causes and when to speak to your doctor, learn about symptoms and treatments of urinary incontinence in women, learn about irritable bowel syndrome symptoms and treatments, learn about ovarian cyst symptoms and treatments, learn about thyroid cancer, a rare type of cancer that affects the thyroid gland located at the base of the neck, learn about endometriosis symptoms and treatments, learn more about bacterial vaginosis symptoms, treatments and how to avoid getting it",,"polycystic ovary syndrome, pelvic organ prolapse, irritable bowel syndrome, to avoid getting, important to know, to speak to, thyroid gland located, of heart disease, to get, underactive thyroid"
leg cramps,"excessive strain placed on leg muscles, for example during exercise, infection – some types of bacterial infection, like tetanus, can cause muscle cramps and spasm, a sudden restriction in the blood supply to the affected muscles, toxins – in some people, high levels of toxic (poisonous) substances in the blood, like lead or mercury, can cause leg cramps, if you have secondary leg cramps, treating the underlying cause may help relieve your symptoms., dehydration – in some people, low levels of water in the body can lead to a drop in your salt levels, which can trigger muscle cramps, liver disease – if your liver stops working properly, toxins will build up in your blood, which can make your muscles spasm, exercise – leg cramps are often experienced when resting after exercise, your gp will ask about your symptoms and examine your legs and feet. they may also ask if you have other symptoms, like numbness or swelling",,"motor neurone disease, vulnerable to cramping, neurological conditions –, liver disease –, excessive strain placed, ., dehydration –, trigger muscle cramps, secondary leg cramps, blood supply to, muscle cramps"
lichen planus,"there’s no cure for lichen planus, so treatments aim to ease the symptoms and clear the rash. mild lichen planus doesn’t require treatment., excessive hair growth (hypertrichosis), purple-red coloured bumps (papules) that are slightly raised, shiny and have a flat top",,"rubbed directly onto, routine dental check, persistent ., nails, oral lichen planus, oral lichen planus, oral lichen planus, mild lichen planus, erosive lichen planus, erosive lichen planus, diagnose lichen planus"
lipoedema,"pain, discomfort, heaviness or tenderness affected areas, it’s more common in women and only very rarely affects men. it’s not the same as obesity., treatment will depend on your symptoms and how they’re affecting you",,"tenderness affected areas, able to give, :, speak to, affected areas of, rarely affects men, obesity ., treatment, to reduce pain, condition of fat, to changes, sides of"
liver cancer,"infection at the site of the surgery, diagnosing liver cancer, cirrhosis can have a number of different causes, including drinking excessive amounts of alcohol over many years and having a long-term hepatitis b or hepatitis c viral infection., if you visit your gp, they will ask about your symptoms, when they started, and when they are noticeable. they will also examine you",,"strong magnetic field, medication called sorafenib, magnetic resonance imaging, flexible camera called, deep vein thrombosis, hepatitis b virus, taken to give, required to stop, people aged 60, every 200 people"
liver disease,"liver disease doesn’t usually cause any obvious signs or symptoms until it’s fairly advanced and the liver is damaged., primary biliary cirrhosis – a rare, long-term type of liver disease that damages the bile ducts in the liver, haemochromatosis – an inherited disorder where there’s a gradual build-up of iron in the body, usually around the liver, hepatitis – which is inflammation (swelling) of the liver caused by a viral infection or exposure to harmful substances such as alcohol, non-alcoholic fatty liver disease – a build-up of fat within liver cells, usually seen in overweight people or those who are obese, at this stage, possible symptoms can include loss of appetite, weight loss and jaundice., in the uk, liver disease is on the increase",,"lead to cirrhosis, loss of appetite, preventable ., alcohol, of liver disease, of liver disease, weight loss, jaundice ., , scarring of, of iron, liver disease"
liver tumours,"feeling sick (nausea) and being sick (vomiting), an increased risk of infection, tiredness, bruising and bleeding, diarrhoea, hair loss, the most common symptom is a lump or swelling in the abdomen, which can be painful. other possible symptoms include weight loss, a loss of appetite, feeling sick (nausea) and being sick (vomiting)., treatment often causes side effects, and your child’s doctor will discuss these with you before treatment starts",,"loss of appetite, vomiting )., treatment, vomiting ), , treatment starts, weight loss, hair loss, side effects, side effects, child ’, feeling sick"
long-term effects of covid-19 (long covid),"information and support if you have ongoing symptoms after coronavirus, information booklet for people who have symptoms that last more than 4 weeks, information on what the symptoms of long covid are and when to get help, information about pots symptoms, causes and treatments, information about long covid including common symptoms and recovery, information and support if you have ongoing symptoms after coronavirus, information booklet for people who have symptoms that last more than 4 weeks, information on what the symptoms of long covid are and when to get help, information about pots symptoms, causes and treatments, information about long covid including common symptoms and recovery",,"of long covid, of long covid, long covid including, long covid including, to get, to get, 4 weeks, 4 weeks, information booklet, information booklet"
loss of libido,"if you’re concerned about your libido, especially if your diminished sex drive distresses you or affects your relationship, make an appointment to see your gp to discuss any underlying causes and possible medical or psychological treatments., less commonly, low libido may be caused by an underactive thyroid. this is where your thyroid gland (located in the neck) doesn’t produce enough hormones",,"produce enough hormones, feeling depressed ., , useful to contact, gp to discuss, appointment to, weight gain, vaginal ring, underactive thyroid, underactive thyroid, thyroid gland"
low blood pressure,"some antidepressants, palpitations (a rapid or irregular heartbeat), if you have low blood pressure (hypotension), but you do not have any symptoms, you do not require treatment. if you are experiencing symptoms, your gp will try to establish the underlying cause of your hypotension in order to determine what treatment is necessary., the following general advice will help to limit your symptoms of your hypotension, particularly postural or orthostatic hypotension",,"use extra pillows, fitting elastic socks, chemical called histamine, toxic shock syndrome, large ones –, alcohol intake –, useful to try, try to establish, to avoid dehydration, small changes to"
lumbar stenosis,"leaking urine or recent need to use pads, change in ability to achieve an erection or ejaculate, you should see the biggest change in your symptoms within the first couple of weeks. most problems should have improved within 6 weeks., loss of sensation in genitals during sexual intercourse, altered feeling when using toilet paper to wipe yourself, numbness in or around your back passage or buttocks, increasing difficulty when you try to stop or control your flow of urine, although this condition can be painful, the nerves can learn to adapt to the change in space around the spine",,"quality of life, normal part of, ageing process of, try to urinate, try to stop, lead to irritation, inability to stop, ability to achieve, called spinal decompression, new onset of"
lung cancer,"lung cancer mainly affects older people. it’s rare in people younger than 40, and the rates of lung cancer rise sharply with age. lung cancer is most commonly diagnosed in people aged 70 to 74",,"feels like sunburn, could potentially travel, pneumonia ), cryotherapy, finger clubbing ), , friends ., changes, ., pipe tobacco, ., chewing tobacco, condition eventually develop, ways of treating, lack of energy"
lupus,"corticosteroids are a type of medicine that help reduce inflammation quickly. they can be very effective in treating symptoms of sle, but are usually only prescribed if the condition is severe., in many cases, lupus nephritis does not cause any noticeable symptoms",exposure to sunlight,"tired even though, recurring mouth ulcers, produce antibodies responsible, dna antibodies increases, systemic lupus erythematosus, systemic lupus erythematosus, try to determine, easier to live, corticosteroid dose to"
lyme disease,"headaches, many people with early symptoms of lyme disease develop a circular rash around the tick bite. the rash:, diagnosing lyme disease is often difficult. many of the symptoms are similar to other conditions",,"intravenous antibiotics )., , feel slightly raised, circular rash around, around 15 cm, yet clear ., , given antibiotics ., , chronic fatigue syndrome, need antibiotic injections, of lyme disease, ., information"
lymphoedema,"other symptoms of lymphoedema can include an aching, heavy feeling in affected body parts and difficulty moving them., primary lymphoedema – caused by faulty genes affecting the development of the lymphatic system; it can develop at any age, but usually occurs in early adulthood, the removal of fat from the affected limb (liposuction) – see below, remember: if you persevere with your treatment plan, your symptoms should eventually become less noticeable., a leakage of fluid through the skin, water displacement – where you place the affected limb in a tank of water and the amount of water that is displaced is measured to calculate the volume of the limb, living with a chronic (long-term) condition that affects your appearance, such as lymphoedema, can cause a great deal of distress and lead to periods of depression",,"strong magnetic field, remove unwanted bacteria, magnetic resonance imaging, like growths developing, higher vein pressure, glands distributed throughout, faulty genes affecting, deep vein thrombosis, fever ), eating, tank of water"
lymphogranuloma venereum (lgv),"most people with lgv don’t notice any symptoms and don’t know they have it. so it’s important to get tested if you think you’re infected., pain in the anal area when pooing or having receptive anal sex, you may notice some anal symptoms such as:, swollen lymph glands in the groin (in one or both sides), if you test positive for chlamydia, and your symptoms suggest that you might have lgv, the lab will do a further test for lgv",,"trying to poo, infected ., pain, receptive anal sex, lgv ., constipation, toilet paper, sides ), , pus from, painful straining, experience :, , anal area"
malaria,"these symptoms can start mild and may be difficult to identify as malaria., plasmodium falciparum – mainly found in africa, it’s the most common type of malaria parasite and is responsible for most malaria deaths worldwide, though treatment does cure the infection., the initial symptoms of malaria include:, headache, all malaria infections cause the same symptoms and require immediate medical attention",,"occur within hours, plasmodium knowlesi –, lariam ), swelling, infected mosquito bites, fever ), chills, ards ), dehydration, travelling to areas, get treatment immediately, difficult to identify, malaria deaths worldwide"
malignant brain tumour (cancerous),"anticonvulsants to prevent seizures (fits), if you decide not to have treatment, you will still be given palliative care, which will control your symptoms and make you as comfortable as possible., you may also be given medication to relieve some of the symptoms you may have as a result of your brain tumour., the frontal lobe may cause changes in personality, weakness in one side of the body and loss of smell, chemotherapy is a medication used to kill cancerous cells",,"strong magnetic field, magnetic resonance imaging, proper diagnosis ., , proper diagnosis ., , ., income support, given palliative care, disability living allowance, series of x, loss of smell, loss of co"
malnutrition,"poor growth in children, persistent vomiting or diarrhoea, reduced muscle strength – for example, not being able to walk as far or as fast as usual, unplanned weight loss – this might cause clothing, rings, watches or dentures to become loose, living alone and being socially isolated, low income or poverty, there are different types of tubes. which one is best for you depends on your diagnosis and symptoms., percutaneous endoscopic gastrostomy (peg) – a tube is placed directly into the stomach via your abdomen, dizziness, depending on how severe your symptoms are, your healthcare professional might recommend a “feeding tube”",,"unable to communicate, to increased demand, post major surgery, mental health conditions, makes swallowing difficult, difficulty keeping warm, able to walk, ability to look, lack of interest, feelings of lethargy"
managing genital symptoms,"there are many causes of pain in the lower tummy. for example issues of the bowel or urinary tract and many gynaecological conditions., milder cases can be diagnosed and treated by your gp","sexually transmitted infection, sexually transmitted infection","could also contact, could also contact, to settle ., , to settle ., , cold sores ., , cold sores ., , advice ., , advice ., "
measles,"the measles rash appears around 2 to 4 days after the initial symptoms and normally fades after about a week. the rash:, people with measles are infectious from when the symptoms develop until about 4 days after the rash first appears., small greyish-white spots in the mouth, is made up of small red-brown, flat or slightly raised spots that may join together into larger blotchy patches, there are things you can do to help relieve your symptoms",,"larger blotchy patches, spreading outwards to, sensitive to light, slightly raised spots, of small red, rash :, people, white spots, slightly itchy, rest of, red eyes"
meniere’s disease,"there’s no single test for ménière’s disease. it can be difficult to distinguish from other conditions with similar symptoms., a family history of the condition, relaxation techniques, these symptoms usually only affect one ear at first, but both ears may become affected over time",,"fullness deep inside, sensitivity to sound, medicines to treat, family history of, :, distorted sound, ., changes to, feeling of pressure, affect one ear, disease also find, ., hearing loss"
meningitis,"meningitis c vaccine – offered at 12 weeks of age, 1 year, being sick, these symptoms can appear in any order and some may not appear., co-ordination, movement and balance problems, oxygen through a face mask if there are any breathing difficulties, a headache, loss of limbs – amputation of affected limbs is sometimes necessary, a dislike of bright lights, this is why it’s so important to get medical help as soon as possible if you think you or your child has symptoms of meningitis, and why meningitis vaccinations are offered to certain groups., meningitis b vaccine – offered to babies aged 8 weeks, followed by a second dose at 16 weeks, and a booster at 1 year, a computerised tomography (ct) scan to check for any problems with the brain, such as swelling, fluids given directly into a vein, vaccinations offer some protection against certain causes of meningitis",,"scan to check, lumbar puncture –, fluids given directly, fluids given directly, epilepsy ), drowsiness, antibiotics given directly, always develop ), , :, pupils sharing, steroid medication to, 13 months old"
mental wellbeing,"anger can become a problem if you find it difficult to keep it under control. find out how to recognise signs of anger and how to manage it., find out what causes anger problems and where to get help for anger issues",,"difficult to keep, to manage, to get, to get, anger problems, ., find, anger, find, find, support"
mesothelioma,"a persistent cough, shortness of breath, radiotherapy – this involves using high-energy radiation to kill cancer cells and it may be used to slow the cancer down and keep it under control, unfortunately, it’s rarely possible to cure mesothelioma, although treatment can help control the symptoms., surgery – an operation to remove the cancerous area can be done if mesothelioma is detected at a very early stage, although it’s not clear whether surgery is helpful, you’ll also probably have treatment for your individual symptoms to help you feel as comfortable as possible. for example, regularly draining fluid from your chest may help your breathing and strong painkillers may help relieve your pain",exposure to asbestos,"unexplained weight loss, clear whether surgery, involves using high, ., surgery –, to develop gradually, operation to remove, shortness of breath, pleural mesothelioma ), , mesothelioma mainly affects"
middle ear infection (otitis media),"the main symptoms of a middle ear infection include:, a lack of energy, being sick, otitis media is an infection of the middle ear. it causes inflammation (redness and swelling) and a build-up of fluid behind the eardrum., an enlarged adenoid (soft tissue at the back of the throat) can also block the eustachian tube","infection to spread, middle ear infection","drain away properly, to become swollen, lack of energy, middle ear to, of fluid behind, middle ear, middle ear, middle ear"
migraine,"nausea, migraine headaches can be unpredictable, sometimes occurring without the other symptoms. getting an accurate diagnosis can take time., physical triggers like tiredness, poor posture, neck or shoulder tension and jet lag, the symptoms of a migraine attack usually last between 4 hours and 3 days",,"low blood sugar, early adulthood ., , ., difficulty speaking, sometimes occurring without, gp must identify, affects around 1, :, talk to, headache ., starting, silent migraine –, experience aura followed"
minor head injury,"dizziness, a mild headache, blurred vision, nausea (feeling sick), minor head injuries often cause a bump or bruise. other symptoms of a minor head injury may include:",,"minor head injury, mild headache, blurred vision, of, nausea, dizziness, bump, bruise"
miscarriage,"you’ll probably have some bleeding for a week or two. if you continue to have symptoms after your miscarriage, it may mean that some of the pregnancy tissue’s still in your womb., cervical weakness – when your cervix (neck of your womb) starts to open, issues with your placenta",,"starts to open, pregnancy tissue ’, continue to, neck of, ’, of, womb, week, two, still"
motor neurone disease (mnd),"after hearing about your symptoms and an initial exam, your gp might refer you to a neurologist (a doctor who specialises in conditions affecting the brain and nervous system)., whether you’d be willing to consider a feeding tube if you were no longer able to swallow food and liquid, atropine eye drops applied to the tongue, there are treatments available that can help relieve many of the symptoms of mnd and improve your quality of life., peripheral neuropathy – where part of the nervous system is damaged by another condition, like type 2 diabetes, electromyography (emg) – measures the electrical activity in your muscles, which shows how well your motor neurones are working and connecting to the muscles, a neurologist and an mnd care specialist, the symptoms of mnd start gradually over weeks and months",,"profound frontotemporal dementia, magnetic resonance imaging, creatinine kinase ), , clearly getting worse, botulinum toxin injections, lumbar puncture –, personality ., eventually, anxiety ., whether, tracheostomy ), speech, willing to take"
mouth cancer,"being sick, feeling down or hopeless during the past month, a poor diet, persistent pain in the mouth, chewing tobacco or other smokeless tobacco products like snus, symptoms of mouth cancer, living with mouth cancer, mouth cancer tends not to cause any noticeable symptoms during the initial stages of the disease., speak to your gp if these symptoms do not heal within 3 weeks, especially if you’re a heavy drinker or smoker., red or white patches in the mouth or throat, symptoms of mouth cancer include:, an x-ray, the human papilloma virus (hpv), feeling sick, this type of emotional disruption can sometimes trigger depression",,"unexplained weight loss, swollen lymph nodes, sometimes trigger depression, magnetic resonance imaging, longer taking pleasure, less serious conditions, cells called melanocytes, adenocarcinomas – cancers, positron emission tomography, poor oral hygiene"
mouth ulcer,"in a few cases, a long-lasting mouth ulcer can be a sign of mouth cancer. if mouth cancer is detected early, the chances of a complete recovery are good. regular dental check-ups are the best way to detect the early signs",first stop smoking,"regular dental check, poorly fitting dentures, drinking ., stress, cold sore virus, abnormal heart rhythms, :, accidentally biting, high blood pressure, early signs ., , to treat conditions"
multiple myeloma,"shortness of breath, nausea, if you don’t need treatment, you’ll be monitored for signs the cancer is beginning to cause problems. if you do need treatment, the following options are most commonly used., let your care team know if you experience any problems or unusual symptoms while taking lenalidomide or pomalidomide",,"stop working properly, spongy tissue found, peripheral neuropathy ), , peripheral neuropathy ), , care team know, care team immediately, urine test ., , shortness of breath, lack of energy, tests to measure"
multiple sclerosis (ms),"unintentionally passing urine (urge incontinence), having to pee more often, feeling like you’re burning, stabbing pains in the face, the symptoms are unpredictable. some people’s symptoms develop and worsen over time, while for others, they come and go., a shortened attention span, getting stuck on words, pins and needles, the symptoms can be similar to several other conditions, so they’re not necessarily caused by ms",,"urge incontinence ), , unintentionally passing urine, shortened attention span, remembering new things, processing visual information, messages travelling along, average life expectancy, years to make, similar to several, need to rule"
multiple system atrophy (msa),"erection problems like erectile dysfunction, everyone with msa will experience different symptoms. symptoms often start between the ages of 50 and 60, but they can begin anytime from the age of 30., bladder problems like a constant need to pee, loss of bladder control (urinary incontinence) or being unable to pee, low blood pressure when standing up which might cause dizziness or fainting (postural hypotension), there’s ongoing research into the possible causes of msa",,"unable to pee, to relieve pain, postural hypotension ), , of nerve cells, low blood pressure, including :, constipation, combination of medication, begin anytime from, ages of 50, different parts of"
mumps,"a person is most contagious a few days before the symptoms develop and for a few days afterwards., mumps causes painful swellings at the side of the face under the ears (the parotid glands). it gives a distinctive ‘hamster face’ appearance",,"parotid glands )., side of, painful swellings, mild stomach, high temperature, dry mouth, of mumps, of mumps, joint pain, glandular fever"
munchausen’s syndrome,"frequent visits to hospitals in different areas, travelling from hospital to hospital in different parts of the country, and seeing many different doctors, lying about their symptoms and typically also lying about other aspects of their life, such as their past or level of education, the person receives very few, or no, visitors in hospital; many people with munchausen’s syndrome adopt a solitary lifestyle and have little contact with any friends of family, if confronted about their behaviour, they can become aggressive and will try to leave the hospital, as most people with munchausen’s syndrome refuse to co-operate with any sort of psychiatric treatment or psychological profiling, there is little available evidence on the possible causes of the condition., the causes of munchausen’s syndrome are largely unknown. most people who have been diagnosed with the condition refuse to accept any sort of psychiatric treatment so little is known about their motives or thought processes",,"social personality disorder, serious medical conditions, proved relatively successful, try to leave, to take pleasure, traces of medication, sense of power, overdose of medication, level of education, history of complex"
muscular dystrophy,"muscular dystrophy (md) symptoms, causes, types and treatments, learn about myotonic dystrophy symptoms and treatments, read about becker muscular dystrophy symptoms, diagnosis and treatment, read about congenital muscular dystrophy, it's symptoms and treatment options, limb girdle muscular dystrophy symptoms, diagnosis and treatment, read about duchenne muscular dystrophy (dmd) symptoms and treatment, emery-dreifuss muscular dystrophy symptoms, diagnosis and treatment",,"duchenne muscular dystrophy, dreifuss muscular dystrophy, congenital muscular dystrophy, becker muscular dystrophy, muscular dystrophy, myotonic dystrophy, treatment options, treatment, treatment, treatment"
myalgic encephalomyelitis (me) or chronic fatigue syndrome (cfs),"nausea, the symptoms of the condition vary from person to person. there may be times when your symptoms improve and you’ll be able to do some normal everyday activities. at other times, symptoms may get worse, affecting your daily life","various factors involved, various factors involved","issues around polypharmacy, issues around polypharmacy, sensitivity to medicine, sensitivity to medicine, sensitive to light, sensitive to light, inability to recover, inability to recover"
myasthenia gravis,"myasthenia gravis is a long term (chronic) condition that causes muscle weakness and fatigue., the first symptoms of myasthenia gravis are often droopy eyelids or double vision. it usually affects the eyes first and may spread to other parts of the body",,"thymus gland removed, magnetic resonance imaging, initial blood test, try to avoid, to get worse, advised to take, brain ., stress, spread to affect, continue to improve, likely to start"
nasal and sinus cancer,"a persistent blocked nose, which usually only affects 1 side, nosebleeds, a bulging or persistently watering eye, the most common symptoms of nasal and sinus cancer are:, pain or numbness in the face, a biopsy (where a small sample of tissue is removed and examined) – this may be done during an endoscopy or using a needle, a computerised tomography (ct) scan and a magnetic resonance imaging (mri) scan, nasal and sinus cancer affects the nasal cavity (the space behind your nose) and the sinuses (small, air-filled cavities inside your nose, cheekbones and forehead)., mucus draining from the nose, which may be blood-stained, a nasal endoscopy – where a long, thin, flexible tube attached to a light source is inserted into your nose to examine the area, a decreased sense of smell, chemotherapy – where medicine is used to help shrink or slow down the growth of a tumour, or to reduce the risk of the cancer returning after surgery, radiotherapy – where high-energy radiation is used to kill the cancerous cells, shrink a tumour before surgery, or destroy small amounts of a tumour that may be left after surgery, speak to your gp if you notice any unusual or persistent symptoms. they’re very unlikely to be caused by nasal or sinus cancer, but are worth getting checked out",,"worth getting checked, persistently watering eye, magnetic resonance imaging, less serious conditions, filled cavities inside, affects 1 side, tests to determine, sinus cancer affects, nose to examine, persistent blocked nose"
