disease,symptom,url_x,letter,name
Malaria,"Plasmodium vivax – mainly found in Asia and South America, this parasite causes milder symptoms but it can stay in the liver for years which can result in symptoms reoccurring if it isn’t treated properly.",https://www.nhsinform.scot/illnesses-and-conditions/infections-and-poisoning/malaria/,M,Malaria
Indigestion,"A little bit of acid reflux is normal and rarely cause any symptoms. It becomes GORD when large amounts of reflux occur, and the sensitive lining of your oesophagus may get inflamed by repeated irritation from stomach acid. This can lead to heartburn, the sensation of regurgitation or painful swallowing.",https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/indigestion/,I,Indigestion
Obesity,running,https://www.nhsinform.scot/illnesses-and-conditions/nutritional/obesity/,O,Obesity
Multiple myeloma,Diagnosing multiple myeloma,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/multiple-myeloma/,M,Multiple myeloma
Food allergy,"a raised, itchy red rash (urticarial) – in some cases, the skin can turn red and itchy, but without a raised rash",https://www.nhsinform.scot/illnesses-and-conditions/nutritional/food-allergy/,F,Food allergy
Reactive arthritis,"urinary system – causing pain when peeing, or discharge from the penis or vagina",https://www.nhsinform.scot/illnesses-and-conditions/muscle-bone-and-joints/conditions-that-can-affect-multiple-parts-of-the-body/reactive-arthritis/,R,Reactive arthritis
Frozen shoulder,"Stop these exercises if they make your symptoms worse, or if they cause new pain.",https://www.nhsinform.scot/illnesses-and-conditions/muscle-bone-and-joints/arm-shoulder-and-hand-problems-and-conditions/frozen-shoulder/,F,Frozen shoulder
Indigestion,any other symptoms you have – which may indicate an underlying health condition,https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/indigestion/,I,Indigestion
Catarrh,Catarrh is usually caused by the immune system reacting to an infection or irritation. This causes the lining of your nose and throat to become swollen and produce mucus.,https://www.nhsinform.scot/illnesses-and-conditions/lungs-and-airways/catarrh/,C,Catarrh
Malignant brain tumour (cancerous),the occipital lobe may cause loss of vision on one side,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/malignant-brain-tumour-cancerous/,M,Malignant brain tumour (cancerous)
Alcohol-related liver disease,"Fatty liver disease rarely causes any symptoms, but it’s an important warning sign that you’re drinking at a harmful level.",https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/alcohol-related-liver-disease/,A,Alcohol-related liver disease
Cirrhosis,weight loss and muscle wasting,https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/cirrhosis/,C,Cirrhosis
Earwax build-up,sodium bicarbonate,https://www.nhsinform.scot/illnesses-and-conditions/ears-nose-and-throat/earwax-build-up/,E,Earwax build-up
Multiple system atrophy (MSA),constipation,https://www.nhsinform.scot/illnesses-and-conditions/brain-nerves-and-spinal-cord/multiple-system-atrophy-msa/,M,Multiple system atrophy (MSA)
Lung cancer,loss of appetite or unexplained weight loss,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/lung-cancer/,L,Lung cancer
Constipation,aluminium antacids (medicine to treat indigestion),https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/constipation/,C,Constipation
Underactive thyroid,loss of libido (sex drive),https://www.nhsinform.scot/illnesses-and-conditions/glands/underactive-thyroid/,U,Underactive thyroid
Myalgic encephalomyelitis (ME) or chronic fatigue syndrome (CFS),"speech and language problems, including word-finding difficulties",https://www.nhsinform.scot/illnesses-and-conditions/brain-nerves-and-spinal-cord/myalgic-encephalomyelitis-me-or-chronic-fatigue-syndrome-cfs/,M,Myalgic encephalomyelitis (ME) or chronic fatigue syndrome (CFS)
Atopic eczema,Signs of a bacterial infection can include:,https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/atopic-eczema/,A,Atopic eczema
Chlamydia,"pain in the lower tummy, bleeding after sex, and bleeding between periods",https://www.nhsinform.scot/illnesses-and-conditions/sexual-and-reproductive/chlamydia/,C,Chlamydia
Anxiety,tiredness,https://www.nhsinform.scot/illnesses-and-conditions/mental-health/anxiety/,A,Anxiety
Non-Hodgkin lymphoma,chest X-ray – this can check whether the cancer has spread to your chest or lungs,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/non-hodgkin-lymphoma/,N,Non-Hodgkin lymphoma
Multiple myeloma,"Your GP will examine you to check for bone tenderness, bleeding, signs of infection, and any other symptoms that suggest you may have myeloma.",https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/multiple-myeloma/,M,Multiple myeloma
Laryngeal (larynx) cancer,"If you want to stop smoking, but don’t want to be referred to a stop smoking service, your GP should be able to prescribe medical treatment to help with any withdrawal symptoms you may have.",https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/laryngeal-larynx-cancer/,L,Laryngeal (larynx) cancer
Heart palpitations,stress,https://www.nhsinform.scot/illnesses-and-conditions/cardiovascular-disease/heart-disease/heart-palpitations/,H,Heart palpitations
Loss of libido,"combined contraception, including the combined pill, vaginal ring, or contraceptive patch",https://www.nhsinform.scot/illnesses-and-conditions/sexual-and-reproductive/loss-of-libido/,L,Loss of libido
Ulcerative colitis,Symptoms of flare-ups vary from person-to-person. They may include:,https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/inflammatory-bowel-disease-ibd/ulcerative-colitis/,U,Ulcerative colitis
Stomach ulcer,feeling more full than usual after eating less food,https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/stomach-ulcer/,S,Stomach ulcer
Liver cancer,pain or swelling in your abdomen (tummy),https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/liver-cancer/,L,Liver cancer
Congenital heart disease,coughs,https://www.nhsinform.scot/illnesses-and-conditions/cardiovascular-disease/heart-disease/congenital-heart-disease/,C,Congenital heart disease
Hodgkin lymphoma,being very overweight (obese) – this may be more of a risk factor in women than men,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/hodgkin-lymphoma/,H,Hodgkin lymphoma
Thirst,diabetic ketoacidosis – a dangerous complication of diabetes caused by a lack of the hormone insulin in the body,https://www.nhsinform.scot/illnesses-and-conditions/nutritional/thirst/,T,Thirst
Vaginal cancer,"To help diagnose vaginal cancer, your GP will ask you about your symptoms and may carry out a physical examination.",https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/vaginal-cancer/,V,Vaginal cancer
Vulval cancer,Diagnosing vulval cancer,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/vulval-cancer/,V,Vulval cancer
Appendicitis,constipation,https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/appendicitis/,A,Appendicitis
Rosacea,"As your physical symptoms improve, you may start to feel better psychologically and emotionally.",https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/rosacea/,R,Rosacea
Scarlet fever,"red lines in the folds of the body, such as the armpit, which may last a couple of days after the rash has gone",https://www.nhsinform.scot/illnesses-and-conditions/infections-and-poisoning/scarlet-fever/,S,Scarlet fever
Cirrhosis,"swelling in the legs, ankles and feet due to a build-up of fluid (oedema)",https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/cirrhosis/,C,Cirrhosis
Lumbar stenosis,"This information may be useful for those who have been diagnosed with lumbar stenosis. People who are experiencing new or ongoing symptoms should visit their healthcare professional for assessment, diagnosis or treatment.",https://www.nhsinform.scot/illnesses-and-conditions/muscle-bone-and-joints/neck-and-back-problems-and-conditions/lumbar-stenosis/,L,Lumbar stenosis
Sinusitis,bad breath (halitosis),https://www.nhsinform.scot/illnesses-and-conditions/ears-nose-and-throat/sinusitis/,S,Sinusitis
Anxiety,clinical psychologists,https://www.nhsinform.scot/illnesses-and-conditions/mental-health/anxiety/,A,Anxiety
Testicular cancer,breast enlargement and swelling,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/testicular-cancer/,T,Testicular cancer
Dizziness (lightheadedness),Your GP will ask about your symptoms and may check if you have vertigo.,https://www.nhsinform.scot/illnesses-and-conditions/brain-nerves-and-spinal-cord/dizziness-lightheadedness/,D,Dizziness (Lightheadedness)
Malignant brain tumour (cancerous),"severe, persistent headaches",https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/malignant-brain-tumour-cancerous/,M,Malignant brain tumour (cancerous)
Chronic myeloid leukaemia,What triggers the development of chronic leukaemia and causes the initial mutation in stem cells is unknown. The one proven risk factor is exposure to radiation.,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/chronic-myeloid-leukaemia/,C,Chronic myeloid leukaemia
Vitamin B12 or folate deficiency anaemia,acute liver damage – often caused by drinking excessive amounts of alcohol,https://www.nhsinform.scot/illnesses-and-conditions/nutritional/vitamin-b12-or-folate-deficiency-anaemia/,V,Vitamin B12 or folate deficiency anaemia
Depression,Council Tax Benefit,https://www.nhsinform.scot/illnesses-and-conditions/mental-health/depression/,D,Depression
Breast cancer (male),"You should look for any signs that the wound may have become infected, such as redness and swelling around the wound or a discharge of pus. Inform your MDT as soon as possible if you suspect an infection.",https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/breast-cancer-male/,B,Breast cancer (male)
Rosacea,eye pain,https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/rosacea/,R,Rosacea
Rosacea,blisters (in rare cases),https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/rosacea/,R,Rosacea
Obstructive sleep apnoea,difficulty breathing through your nose,https://www.nhsinform.scot/illnesses-and-conditions/lungs-and-airways/obstructive-sleep-apnoea/,O,Obstructive sleep apnoea
Bile duct cancer (cholangiocarcinoma),"Despite this, treatment such as chemotherapy can relieve the symptoms of bile duct cancer and improve the quality of life of people in the advanced stages of the condition.",https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/bile-duct-cancer-cholangiocarcinoma/,B,Bile duct cancer (cholangiocarcinoma)
Inherited heart conditions,"blackouts, faints or fits (seizures)",https://www.nhsinform.scot/illnesses-and-conditions/cardiovascular-disease/heart-disease/inherited-heart-conditions/,I,Inherited heart conditions
Schizophrenia,Read more about the causes of schizophrenia.,https://www.nhsinform.scot/illnesses-and-conditions/mental-health/schizophrenia/,S,Schizophrenia
Panic disorder,Diagnosing panic disorder in children is usually a case of taking a detailed medical history and carrying out a thorough physical examination to rule out any physical causes for the symptoms.,https://www.nhsinform.scot/illnesses-and-conditions/mental-health/panic-disorder/,P,Panic disorder
Myalgic encephalomyelitis (ME) or chronic fatigue syndrome (CFS),being very sensitive to light and sound,https://www.nhsinform.scot/illnesses-and-conditions/brain-nerves-and-spinal-cord/myalgic-encephalomyelitis-me-or-chronic-fatigue-syndrome-cfs/,M,Myalgic encephalomyelitis (ME) or chronic fatigue syndrome (CFS)
Non-Hodgkin lymphoma,nausea and vomiting,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/non-hodgkin-lymphoma/,N,Non-Hodgkin lymphoma
Irritable bowel syndrome (IBS),The exact cause of IBS is unknown. Many causes have been suggested but none have been proven to lead to IBS.,https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/irritable-bowel-syndrome-ibs/,I,Irritable bowel syndrome (IBS)
Heart block,cancer that spread from another part of the body into the heart,https://www.nhsinform.scot/illnesses-and-conditions/cardiovascular-disease/heart-disease/heart-block/,H,Heart block
Impetigo,Impetigo does not cause any symptoms until 4 to 10 days after you first become infected. This means that people can easily pass the infection on to others without realising it.,https://www.nhsinform.scot/illnesses-and-conditions/infections-and-poisoning/impetigo/,I,Impetigo
Overactive thyroid,sensitivity to heat and excess sweating,https://www.nhsinform.scot/illnesses-and-conditions/glands/overactive-thyroid/,O,Overactive thyroid
Ganglion cyst,"If you have a ganglion cyst the swelling can become noticeable, but often there are no symptoms at all.",https://www.nhsinform.scot/illnesses-and-conditions/muscle-bone-and-joints/arm-shoulder-and-hand-problems-and-conditions/ganglion-cyst/,G,Ganglion cyst
Parkinson’s disease,"It’s not known why the loss of nerve cells associated with Parkinson’s disease occurs, although research is ongoing to identify potential causes.",https://www.nhsinform.scot/illnesses-and-conditions/brain-nerves-and-spinal-cord/parkinsons-disease/,P,Parkinson’s disease
Feeling of something in your throat (Globus),There are a number of things you can do to try to relieve globus symptoms.,https://www.nhsinform.scot/illnesses-and-conditions/ears-nose-and-throat/feeling-of-something-in-your-throat-globus/,F,Feeling of something in your throat (Globus)
Ataxia,medication like benzodiazepines,https://www.nhsinform.scot/illnesses-and-conditions/brain-nerves-and-spinal-cord/ataxia/,A,Ataxia
Progressive supranuclear palsy (PSP),"eye problems like blurred or double vision, problems looking up and down, or involuntary eye closure",https://www.nhsinform.scot/illnesses-and-conditions/brain-nerves-and-spinal-cord/progressive-supranuclear-palsy-psp/,P,Progressive supranuclear palsy (PSP)
Nasal and sinus cancer,surgery to remove a tumour – which can be performed using surgical incisions (open surgery) or as keyhole surgery through the nose (endoscopic microsurgery),https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/nasal-and-sinus-cancer/,N,Nasal and sinus cancer
Laryngeal (larynx) cancer,a computerised tomography (CT) scan – a series of X-rays are taken to build up a more detailed three-dimensional picture of your larynx and the surrounding tissue,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/laryngeal-larynx-cancer/,L,Laryngeal (larynx) cancer
Osteoarthritis,smoking status,https://www.nhsinform.scot/illnesses-and-conditions/muscle-bone-and-joints/conditions-that-can-affect-multiple-parts-of-the-body/osteoarthritis/,O,Osteoarthritis
Bile duct cancer (cholangiocarcinoma),"In most cases, there are no signs of bile duct cancer until it reaches the later stages, when symptoms can include:",https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/bile-duct-cancer-cholangiocarcinoma/,B,Bile duct cancer (cholangiocarcinoma)
Pulmonary hypertension,furosemide,https://www.nhsinform.scot/illnesses-and-conditions/a-to-z/pulmonary-hypertension/,P,Pulmonary hypertension
Patellofemoral pain syndrome,take regular breaks while doing aggravating activities,https://www.nhsinform.scot/illnesses-and-conditions/muscle-bone-and-joints/leg-and-foot-problems-and-conditions/patellofemoral-pain-syndrome/,P,Patellofemoral pain syndrome
Post-traumatic stress disorder (PTSD),"Like adults, children with PTSD may also lose interest in activities they used to enjoy and may have physical symptoms such as headaches and stomach aches.",https://www.nhsinform.scot/illnesses-and-conditions/mental-health/post-traumatic-stress-disorder-ptsd/,P,Post-traumatic stress disorder (PTSD)
Iron deficiency anaemia,antacids and proton pump inhibitors (PPIs) – medications used to relieve indigestion,https://www.nhsinform.scot/illnesses-and-conditions/nutritional/iron-deficiency-anaemia/,I,Iron deficiency anaemia
Post-traumatic stress disorder (PTSD),"Antidepressants can also be prescribed to reduce any associated symptoms of depression and anxiety and to help with sleeping problems. However, they’re not usually prescribed for people younger than 18 unless recommended by a specialist.",https://www.nhsinform.scot/illnesses-and-conditions/mental-health/post-traumatic-stress-disorder-ptsd/,P,Post-traumatic stress disorder (PTSD)
Mesothelioma,tummy pain or swelling,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/mesothelioma/,M,Mesothelioma
Acne,topical retinoids,https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/acne/,A,Acne
Asthma,wheezing,https://www.nhsinform.scot/illnesses-and-conditions/lungs-and-airways/asthma/,A,Asthma
Middle ear infection (otitis media),Otitis media is an infection of the middle ear. It causes inflammation (redness and swelling) and a build-up of fluid behind the eardrum.,https://www.nhsinform.scot/illnesses-and-conditions/ears-nose-and-throat/middle-ear-infection-otitis-media/,M,Middle ear infection (otitis media)
Phobias,rapid heartbeat (tachycardia),https://www.nhsinform.scot/illnesses-and-conditions/mental-health/phobias/,P,Phobias
Oesophageal cancer,diarrhoea,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/oesophageal-cancer/,O,Oesophageal cancer
Sickle cell disease,"Sickle cell disease affects how your body produces red blood cells. Normal red blood cells are round – red blood cells affected by sickle cell disease harden and become sickle-shaped, like a crescent moon. This causes them to die too quickly and block blood vessels, leading to symptoms that are often painful.",https://www.nhsinform.scot/illnesses-and-conditions/blood-and-lymph/sickle-cell-disease/,S,Sickle cell disease
Acute lymphoblastic leukaemia,"white blood cells, which help fight infection",https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/acute-lymphoblastic-leukaemia/,A,Acute lymphoblastic leukaemia
Reactive arthritis,"eyes – causing eye pain, redness, sticky discharge, conjunctivitis and sometimes inflammation",https://www.nhsinform.scot/illnesses-and-conditions/muscle-bone-and-joints/conditions-that-can-affect-multiple-parts-of-the-body/reactive-arthritis/,R,Reactive arthritis
Bowel cancer,"However, these symptoms are very common and most people with them do not have bowel cancer. For example, blood in the stools is more often caused by haemorrhoids (piles), and a change in bowel habit or abdominal pain is usually the result of something you have eaten.",https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/bowel-cancer/,B,Bowel cancer
Bowel cancer,noticeable swelling or bloating of the tummy,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/bowel-cancer/,B,Bowel cancer
Urinary incontinence,total incontinence – severe and continuous urinary incontinence,https://www.nhsinform.scot/illnesses-and-conditions/kidneys-bladder-and-prostate/urinary-incontinence/,U,Urinary incontinence
Thyroid cancer: Teenagers and young adults,X-ray to check your lungs,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-teenagers-and-young-adults/thyroid-cancer-teenagers-and-young-adults/,T,Thyroid cancer: Teenagers and young adults
Rosacea,loss of appetite,https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/rosacea/,R,Rosacea
Thyroid cancer,tiredness,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/thyroid-cancer/,T,Thyroid cancer
Testicular cancer,kidney damage,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/testicular-cancer/,T,Testicular cancer
Mouth cancer,a positron emission tomography (PET) scan,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/mouth-cancer/,M,Mouth cancer
Testicular cancer,diarrhoea,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/testicular-cancer/,T,Testicular cancer
Prostate cancer,"The TRUS biopsy can also find small low-risk cancers that do not need treatment, but may cause you anxiety. Many people often choose to undergo surgery or radiotherapy that may not benefit them but causes side effects, such as incontinence and erectile dysfunction.",https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/prostate-cancer/,P,Prostate cancer
Peripheral neuropathy,numbness in the affected body part,https://www.nhsinform.scot/illnesses-and-conditions/brain-nerves-and-spinal-cord/peripheral-neuropathy/,P,Peripheral neuropathy
Lupus,recurring mouth ulcers,https://www.nhsinform.scot/illnesses-and-conditions/immune-system/lupus/,L,Lupus
Rosacea,strong winds,https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/rosacea/,R,Rosacea
Supraventricular tachycardia,anxiety,https://www.nhsinform.scot/illnesses-and-conditions/cardiovascular-disease/heart-disease/supraventricular-tachycardia/,S,Supraventricular tachycardia
Overactive thyroid,"If you have diabetes, your diabetic symptoms, such as extreme thirst and tiredness, may be made worse by hyperthyroidism.",https://www.nhsinform.scot/illnesses-and-conditions/glands/overactive-thyroid/,O,Overactive thyroid
Food allergy,"Exactly what causes the immune system to mistake harmless proteins as a threat is unclear. However, a number of risk factors for food allergies have been identified, which are outlined below.",https://www.nhsinform.scot/illnesses-and-conditions/nutritional/food-allergy/,F,Food allergy
Underactive thyroid,muscle aches,https://www.nhsinform.scot/illnesses-and-conditions/glands/underactive-thyroid/,U,Underactive thyroid
Progressive supranuclear palsy (PSP),problems with swallowing (dysphagia),https://www.nhsinform.scot/illnesses-and-conditions/brain-nerves-and-spinal-cord/progressive-supranuclear-palsy-psp/,P,Progressive supranuclear palsy (PSP)
Rhabdomyosarcoma,blood tests and bone marrow,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-children/rhabdomyosarcoma/,R,Rhabdomyosarcoma
Crohn’s disease,anal pain and discharge due to perianal Crohn’s,https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/inflammatory-bowel-disease-ibd/crohns-disease/,C,Crohn’s disease
Adenomyosis,Adenomyosis is a condition that causes the lining of the womb (the endometrium) to bury into the muscular wall of the womb.,https://www.nhsinform.scot/healthy-living/womens-health/girls-and-young-women-puberty-to-around-25/periods-and-menstrual-health/adenomyosis/,A,Adenomyosis
Long-term effects of COVID-19 (long COVID),Information about long COVID including common symptoms and recovery,https://www.nhsinform.scot/long-term-effects-of-covid-19-long-covid/,Unknown,
Thyroid cancer: Teenagers and young adults,When you go to your GP they will usually examine you and arrange some blood tests. There may be a number of reasons why you have these symptoms. If your GP is concerned that you may have thyroid cancer they will make an appointment for you with a specialist at the hospital.,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-teenagers-and-young-adults/thyroid-cancer-teenagers-and-young-adults/,T,Thyroid cancer: Teenagers and young adults
Thyroid cancer,"Alternatively, if your hormone levels are too high, you may experience symptoms such as weight loss, hyperactivity or diarrhoea. You shouldn’t experience any more side effects once the right dose has been achieved.",https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/thyroid-cancer/,T,Thyroid cancer
Schizophrenia,trembling,https://www.nhsinform.scot/illnesses-and-conditions/mental-health/schizophrenia/,S,Schizophrenia
Food poisoning,feeling sick (nausea),https://www.nhsinform.scot/illnesses-and-conditions/infections-and-poisoning/food-poisoning/,F,Food poisoning
Bowel cancer,"As well as making lifestyle changes and keeping an eye out for possible symptoms of bowel cancer, taking part in bowel cancer screening when it is offered can help reduce your chances of dying from the condition.",https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/bowel-cancer/,B,Bowel cancer
Ovarian cancer,Speak to your GP as soon as possible if you have any symptoms of ovarian cancer.,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/ovarian-cancer/,O,Ovarian cancer
Costochondritis,unconsciousness,https://www.nhsinform.scot/illnesses-and-conditions/muscle-bone-and-joints/chest-and-rib-problems-and-conditions/costochondritis/,C,Costochondritis
Vertigo,loss of balance – which can make it difficult to stand or walk,https://www.nhsinform.scot/illnesses-and-conditions/ears-nose-and-throat/vertigo/,V,Vertigo
Skin light sensitivity (photosensitivity),solar urticaria,https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/skin-light-sensitivity/skin-light-sensitivity-photosensitivity/,S,Skin light sensitivity (photosensitivity)
Lichen planus,"scar tissue can form, which distorts the shape of the vagina",https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/lichen-planus/,L,Lichen planus
Fungal nail infection,a rash,https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/fungal-nail-infection/,F,Fungal nail infection
Hodgkin lymphoma,feeling agitated,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/hodgkin-lymphoma/,H,Hodgkin lymphoma
Asthma,animal fur,https://www.nhsinform.scot/illnesses-and-conditions/lungs-and-airways/asthma/,A,Asthma
Bile duct cancer (cholangiocarcinoma),"Radiotherapy is not a standard treatment for bile duct cancer, but may help to relieve the symptoms, slow the spread of the cancer and prolong life. The types of radiotherapy are used to treat bile duct cancer:",https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/bile-duct-cancer-cholangiocarcinoma/,B,Bile duct cancer (cholangiocarcinoma)
Deafblindness,Read more about the causes of deafblindness,https://www.nhsinform.scot/illnesses-and-conditions/eyes/deafblindness/,D,Deafblindness
Pancreatic cancer,"It’s important to remember that these symptoms can be caused by many different conditions, and aren’t usually the result of cancer. But you should contact your GP if you’re concerned, or if these symptoms start suddenly.",https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/pancreatic-cancer/,P,Pancreatic cancer
Chronic myeloid leukaemia,bruising,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/chronic-myeloid-leukaemia/,C,Chronic myeloid leukaemia
Post-traumatic stress disorder (PTSD),military combat,https://www.nhsinform.scot/illnesses-and-conditions/mental-health/post-traumatic-stress-disorder-ptsd/,P,Post-traumatic stress disorder (PTSD)
Venous leg ulcer,"Your GP or practice nurse will ask whether you have any other symptoms associated with venous leg ulcers, including:",https://www.nhsinform.scot/illnesses-and-conditions/skin-hair-and-nails/venous-leg-ulcer/,V,Venous leg ulcer
Lumbar stenosis,inability to stop a bowel movement or leaking,https://www.nhsinform.scot/illnesses-and-conditions/muscle-bone-and-joints/neck-and-back-problems-and-conditions/lumbar-stenosis/,L,Lumbar stenosis
Chickenpox,"There is no treatment for chickenpox. But, you can get remedies from your pharmacy that can help symptoms. These include:",https://www.nhsinform.scot/illnesses-and-conditions/infections-and-poisoning/chickenpox/,C,Chickenpox
Self-harm,"signs of low self-esteem, such as blaming themselves for any problems or thinking they are not good enough for something",https://www.nhsinform.scot/illnesses-and-conditions/mental-health/self-harm/,S,Self-harm
Penile cancer,The Cancer Research UK website has more information about the risks and causes of penile cancer.,https://www.nhsinform.scot/illnesses-and-conditions/cancer/cancer-types-in-adults/penile-cancer/,P,Penile cancer
Sepsis,chills and shivering,https://www.nhsinform.scot/illnesses-and-conditions/blood-and-lymph/sepsis/,S,Sepsis
Hepatitis A,yellowing of the skin and eyes (jaundice),https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/hepatitis-a/,H,Hepatitis A
Meningitis,oxygen through a face mask,https://www.nhsinform.scot/illnesses-and-conditions/infections-and-poisoning/meningitis/,M,Meningitis
Outer ear infection (otitis externa),irritation,https://www.nhsinform.scot/illnesses-and-conditions/ears-nose-and-throat/otitis-externa/,O,Outer ear infection (otitis externa)
Overactive thyroid,"An overactive thyroid (hyperthyroidism) has many signs and symptoms, although it is unlikely you would develop all of them.",https://www.nhsinform.scot/illnesses-and-conditions/glands/overactive-thyroid/,O,Overactive thyroid
Parkinson’s disease,depression and anxiety,https://www.nhsinform.scot/illnesses-and-conditions/brain-nerves-and-spinal-cord/parkinsons-disease/,P,Parkinson’s disease
Pain in the ball of the foot,your symptoms haven’t improved within 12 weeks,https://www.nhsinform.scot/illnesses-and-conditions/muscle-bone-and-joints/leg-and-foot-problems-and-conditions/pain-in-the-ball-of-the-foot/,P,Pain in the ball of the foot
Gout,"Any joint can be affected by gout, but it usually affects joints towards the ends of the limbs, like",https://www.nhsinform.scot/illnesses-and-conditions/muscle-bone-and-joints/leg-and-foot-problems-and-conditions/gout/,G,Gout
Chronic pancreatitis,"Rare cases of chronic pancreatitis are the result of a problem with the immune system, which causes it to attack the pancreas. This is known as ‘autoimmune pancreatitis’ and it’s not clear exactly why it happens.",https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/chronic-pancreatitis/,C,Chronic pancreatitis
Yellow fever,"muscle pain, including backache",https://www.nhsinform.scot/illnesses-and-conditions/infections-and-poisoning/yellow-fever/,Y,Yellow fever
Tuberculosis (TB),"TB mainly affects the lungs. However, it can affect any part of the body, including the glands, bones and nervous system.",https://www.nhsinform.scot/illnesses-and-conditions/infections-and-poisoning/tuberculosis-tb/,T,Tuberculosis (TB)
Irritable bowel syndrome (IBS),"a change in your bowel habits – such as diarrhoea, constipation or sometimes both",https://www.nhsinform.scot/illnesses-and-conditions/stomach-liver-and-gastrointestinal-tract/irritable-bowel-syndrome-ibs/,I,Irritable bowel syndrome (IBS)
